"","source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"13464","Myelocytes","Myelocytes","HLA-A","APLP2",0.0750538766595003,20748.9,0.00190429757613045,32577,0.541427376012451,21730,0.586818890304463,17274,0.967545435209064,6161,0,26002.5
"13465","Megakaryocyte progenitors","Megakaryocyte progenitors","CALM2","MYLK",0.0750653968247371,17242.3,0.00384755078398874,17310,1.00258929712384,7749,0.840633819601641,9901,0.925061568787695,25249,0,26002.5
"13466","Plasmacytoid dendritic cells","Myelocytes","LILRB4","LAIR1",0.0750728663383769,16114.1,0.00648773639084789,9208,1.96977340886037,917,1.0118703529697,6951,0.89534359136113,37492,0,26002.5
"13467","Megakaryocyte progenitors","Megakaryocyte progenitors","CALM3","MYLK",0.0750769184045326,15875.3,0.00706999808019091,8138,1.17124026039811,5395,0.869127765065174,9339,0.912489816108424,30502,0,26002.5
"13468","HSCs & MPPs","Others","GNAI2","S1PR5",0.0750769184045326,17809.5,0.00667867732024012,8831,0.916322940581379,9217,0.736275114061752,12418,0.907486674897546,32579,0,26002.5
"13469","Class switched memory B cells","CD4+ memory T cells","B2M","CD3D",0.0750964592829268,16476.1,0.00346064595182304,19413,0.591804637216513,19181,0.578574240306236,17556,0.983443047482815,228,0,26002.5
"13470","Conventional dendritic cell 1","CD8+ effector memory T cells","TGFB1","CXCR4",0.0750964592829268,40593.9,0.00086474875985733,53760,0.136620982022653,53200,0.091111590908643,46259,0.928398376522112,23748,0,26002.5
"13471","Pro-B cells","Conventional dendritic cell 2","GNAS","ADCY7",0.0750999658083203,25777.5,0.00278989381935502,23792,0.539803244382655,21824,0.421569711109957,24688,0.907475394834626,32581,0,26002.5
"13472","Conventional dendritic cell 1","Myelocytes","LGALS9","PTPRC",0.0750999658083203,26597.5,0.00190411751222732,32581,0.460244207321404,26664,0.382381727653459,26924,0.935407942240993,20816,0,26002.5
"13473","Pre-B cells","Classical Monocytes","HLA-DMB","CD4",0.0751036463683804,21535.3,0.00526348407537288,12074,0.627560853255837,17658,0.6511022672572,14957,0.896651829004974,36985,0,26002.5
"13474","Conventional dendritic cell 2","Conventional dendritic cell 1","ARF6","SMAP1",0.0751114916325732,29017.1,0.00190411567308593,32582,0.45659349290689,26915,0.355056024426652,28556,0.911179320111535,31030,0,26002.5
"13475","Plasmacytoid dendritic cell progenitors","Others","LILRB4","LAIR1",0.0751185311932778,16574.7,0.00670772342870076,8776,1.63282136248979,1998,0.876655820509955,9210,0.896895639137034,36887,0,26002.5
"13476","NK exhausted","CD69+PD-1+ memory CD4+ T cells","ADA","DPP4",0.0751187505075621,26105.9,0.00609514280775455,10024,0.603516527221366,18665,0.561800192928259,18251,0.835934700255538,57587,0,26002.5
"13477","Myelocytes","Non-classical monocytes","TNFSF13B","TFRC",0.0751460775963313,21856.1,0.00395937415818778,16784,0.739333987146467,13615,0.511503289111468,20294,0.907466062108319,32585,0,26002.5
"13478","Myelocytes","Megakaryocyte progenitors","GRN","TNFRSF1A",0.0751576090816848,16646.5,0.00451520545065024,14496,1.06224302722888,6783,1.31538402275895,3365,0.907462623763534,32586,0,26002.5
"13479","Non-classical monocytes","Classical Monocytes","S100A9","CD36",0.0751642131263512,15039.7,0.01406317409902,2774,0.942262965287476,8746,0.356620089714939,28464,0.961779482782526,9212,0,26002.5
"13480","Megakaryocyte progenitors","Megakaryocyte progenitors","MDK","NCL",0.0751691419826393,18253.5,0.0029480537199692,22675,0.848231817482031,10671,1.10944588760417,5555,0.922410160374293,26364,0,26002.5
"13481","CD8+CD103+ tissue resident memory T cells","CD69+PD-1+ memory CD4+ T cells","HLA-C","CD3G",0.0751691419826393,24159.7,0.00233537083832831,27697,0.377538721761491,32587,0.458278566950466,22789,0.956767338852386,11723,0,26002.5
"13482","Pro-B cells","Others","LGALS9","CD47",0.075180676299325,25317.9,0.0019035269988546,32588,0.529603636418465,22402,0.559721851093048,18335,0.920224297728318,27262,0,26002.5
"13483","Pro-B cells","Mature naive B cells","COPA","CD74",0.0752268277259877,15648.1,0.00190326061544314,32592,1.1073660884601,6167,1.70004163251367,1234,0.955596654619509,12245,0,26002.5
"13484","Conventional dendritic cell 2","Conventional dendritic cell 2","COPA","CD74",0.0752383691232851,16139.1,0.00190320312151964,32593,1.0390518512938,7142,1.40370911891618,2712,0.95559601371467,12246,0,26002.5
