"","source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"16206","Plasmacytoid dendritic cell progenitors","CD8+CD103+ tissue resident memory T cells","HLA-C","CD8B",0.0597651210075831,23229.4,0.00476988834215884,17491,0.712922036150637,20795,0.310689336429302,39001,0.96296715462269,9913,0,28947
"16207","Plasma cells","Erythro-myeloid progenitors","CALR","ITGA2B",0.0597651210075831,27269.4,0.00289278089043871,29377,0.701623396331108,21291,0.728979752896714,17458,0.912357997285631,39274,0,28947
"16208","Classical Monocytes","NK cell progenitors","GRN","TNFRSF1B",0.0597727301337964,25517,0.00235602943725977,34769,0.921331997108076,13653,0.948705522238251,10941,0.912353136472054,39275,0,28947
"16209","Plasmacytoid dendritic cell progenitors","CD8+CD103+ tissue resident memory T cells","HLA-E","CD8A",0.059780340035008,21809.8,0.00421307537251189,20304,0.808911023316502,17093,0.476067566057394,28569,0.955189712285738,14136,0,28947
"16210","Plasmacytoid dendritic cell progenitors","CD8+CD103+ tissue resident memory T cells","HLA-E","CD8B",0.059787950711277,22971.6,0.00429434705762438,19878,0.740940653539543,19643,0.435870900933896,30890,0.952731128253327,15500,0,28947
"16211","Non-classical monocytes","Class switched memory B cells","S100A8","CD69",0.0597955621626625,27125.4,0.00288172831026707,29486,0.593927504300891,26250,0.306410934606273,39278,0.959768248659717,11666,0,28947
"16212","Megakaryocyte progenitors","Non-classical monocytes","TF","TFRC",0.0598076508662204,21468.4,0.0103130405089189,6006,1.86096657857204,1999,0.957737111255053,10715,0.874708446056813,59675,0,28947
"16213","CD69+PD-1+ memory CD4+ T cells","Classical Monocytes","HMGB1","CD163",0.0598135458641528,25132.7,0.00707677516579339,10405,0.776096319034004,18269,0.857723269659302,13364,0.941176942824056,22167,0.012,61458.5
"16214","Plasmacytoid dendritic cells","Eosinophil-basophil-mast cell progenitors","LILRB4","LAIR1",0.0598233747798,20556.6,0.0104948050817676,5841,1.11487023268532,9238,0.957731066525956,10716,0.896843700123432,48041,0,28947
"16215","Lymphomyeloid prog","CD4+ memory T cells","HGF","CD44",0.0598260157205552,30946.4,0.00417142780585295,20517,0.475832232877096,33189,0.404244574824679,32797,0.912339154161299,39282,0,28947
"16216","Plasmacytoid dendritic cell progenitors","CD8+CD103+ tissue resident memory T cells","B2M","CD3G",0.059833631048412,19529.4,0.00362865767559763,23773,0.764882574913173,18689,0.562022807122941,24184,0.976972685240988,2054,0,28947
"16217","CD69+PD-1+ memory CD4+ T cells","Myelocytes","FCER2","ITGAM_ITGB2",0.059839101255989,14830,0.015452104384866,3059,1.04217682437797,10717,1.18104597442638,6353,0.936370278965797,25074,0,28947
"16218","Non-classical monocytes","Classical Monocytes","HLA-F","LILRB1",0.0598412471517407,28646.4,0.00438968876489292,19349,0.571403601756268,27476,0.483403300765406,28176,0.912337535949905,39284,0,28947
"16219","HSCs & MPPs","CD8+CD103+ tissue resident memory T cells","HLA-C","CD3D",0.0598488640306004,25226,0.00258244742579985,32323,0.689587665747647,21812,0.306259012037071,39285,0.973304741330029,3763,0,28947
"16220","Non-classical monocytes","Non-classical monocytes","CD48","CD244",0.0598516913170349,28131.4,0.00465210506157655,18069,0.662853938869066,23015,0.452426168762948,29877,0.909787230288865,40749,0,28947
